Index Verbas|Parlamentar|Período|Tipo Despesa|Data|CNPJ|Empresa|Valor
4|Claudiano Martins Filho|Fevereiro de 2018|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.319,00|28/02/2018|10.516.693/0001-23|LOPES & CONSULTORES ASSOCIADOS LTDA|5.319,00
5|Claudiano Martins Filho|Fevereiro de 2018|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 232,99|19/02/2018|02.558.157/0001-62|TELEFÔNICA BRASIL S.A|232,99
6|Claudiano Martins Filho|Fevereiro de 2018|XII - Serviços de Telecomunicações em Geral - R$ 3.418,21|19/02/2018|02.558.157/0001-62|TELEFÔNICA BRASIL S.A|147,57
7|Claudiano Martins Filho|Fevereiro de 2018|XII - Serviços de Telecomunicações em Geral - R$ 3.418,21|22/02/2018|40.432.544/0102-90|CLARO TELECOMUNICAÇÕES|510,16
8|Claudiano Martins Filho|Fevereiro de 2018|XII - Serviços de Telecomunicações em Geral - R$ 3.418,21|22/02/2018|04.206.050/0082-46|TIM TELECOMUNICAÇÕES|2.760,48
1|Claudiano Martins Filho|Março de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|15/03/2018|04.938.096/0001-94|COOPERATIVA METROPOLITANA DE TAXISTAS - ME|607,50
2|Claudiano Martins Filho|Março de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|23/03/2018|07.365.343/0001-07|RW PRODUÇÕES, SERVIÇOS E EVENTOS LTDA -ME|2.550,00
3|Claudiano Martins Filho|Março de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|23/03/2018|07.365.343/0001-07|RW PRODUÇÕES, SERVIÇOS E EVENTOS LTDA -ME|2.250,00
4|Claudiano Martins Filho|Março de 2018|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.319,00|28/03/2018|10.516.693/0001-23|LOPES & cONSULTORES ASSOCIADOS LTDA|5.319,00
5|Claudiano Martins Filho|Março de 2018|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 465,07|09/03/2018|02.558.157/0008-39|TELEFÔNICA BRASIL S.A|465,07
6|Claudiano Martins Filho|Março de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.357,87|09/03/2018|02.558.157/0008-39|TELEFÔNICA BRASIL S.A|147,84
7|Claudiano Martins Filho|Março de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.357,87|22/03/2018|04.206.050/0082-46|Tim Telecomunicações Ltda|699,87
8|Claudiano Martins Filho|Março de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.357,87|22/03/2018|40.432.544/0102-90|ClaroTelecomunicações Ltda|510,16
1|Claudiano Martins Filho|Abril de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|19/04/2018|04938096000194|cooperativa metropolitana de taxistas - me|607,50
2|Claudiano Martins Filho|Abril de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|25/04/2018|07365343000107|rw produções, serviços e eventos ltda - me|2.250,00
3|Claudiano Martins Filho|Abril de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|25/04/2018|07365343000107|rw produções, serviços e eventos ltda - me|2.550,00
4|Claudiano Martins Filho|Abril de 2018|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.319,00|30/04/2018|10516693000123|lopes & consultores ltda|5.319,00
5|Claudiano Martins Filho|Abril de 2018|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 685,98|04/04/2018|02558157000162|telefônica brasil s.a|685,98
6|Claudiano Martins Filho|Abril de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.327,06|04/04/2018|02558157000162|telefônica brasil s.a|170,23
7|Claudiano Martins Filho|Abril de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.327,06|23/04/2018|04206050008246|TIM|646,67
8|Claudiano Martins Filho|Abril de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.327,06|23/04/2018|40432544010290|CLARO|510,16
9|Claudiano Martins Filho|Abril de 2018|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.496,93|14/06/2018|21315036000134|auto mais comercio serviço automotivo - me|2.496,93
1|Claudiano Martins Filho|Maio de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.800,00|24/05/2018|07365343000107|rw produções, serviços e eventos ltda - me|2.250,00
2|Claudiano Martins Filho|Maio de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.800,00|24/05/2018|07365343000107|rw produções, serviços e eventos ltda- me|2.550,00
3|Claudiano Martins Filho|Maio de 2018|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.319,00|30/05/2018|10516693000123|lopes e consultores associados ltda - me|5.319,00
4|Claudiano Martins Filho|Maio de 2018|V - Material de Expediente - R$ 43,30|19/05/2018|20845172000173|extra fina ltda - me|43,30
5|Claudiano Martins Filho|Maio de 2018|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 452,99|03/05/2018|02558157000839|telefônica brasil s.a|452,99
6|Claudiano Martins Filho|Maio de 2018|VIII - Peças, Acessórios e Serviços para Veículos - R$ 937,45|29/05/2018|16794464000157|caoa motor  do brasil ltda|201,40
7|Claudiano Martins Filho|Maio de 2018|VIII - Peças, Acessórios e Serviços para Veículos - R$ 937,45|29/05/2018|16794464000157|caoa motor do brasil ltda|736,05
8|Claudiano Martins Filho|Maio de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.178,60|03/05/2018|02558157000839|telefônica brasil s.a|62,14
9|Claudiano Martins Filho|Maio de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.178,60|23/05/2018|04206050008246|tim telecomunicações|606,30
10|Claudiano Martins Filho|Maio de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.178,60|23/05/2018|40432544010290|claro telecomunicações|510,16
1|Claudiano Martins Filho|Junho de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|05/06/2018|04938096000194|COOPERATIVA METROPOLITANA DE TAXISTAS - ME|607,50
2|Claudiano Martins Filho|Junho de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|26/06/2018|07365343000107|rw produções, serviços e eventos ltda - me|2.250,00
3|Claudiano Martins Filho|Junho de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|26/06/2018|07365343000107|RW PRODUÇÕES, SERVIÇOS E EVENTOS LTDA - ME|2.550,00
4|Claudiano Martins Filho|Junho de 2018|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.319,00|30/06/2018|10516693000123|LOPES E cONSULTORES ASSOCIADOS LTDA|5.319,00
5|Claudiano Martins Filho|Junho de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.649,53|07/06/2018|02558157000839|telefônica brasil s.a|558,54
6|Claudiano Martins Filho|Junho de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.649,53|22/06/2018|40432544010290|claro s.a|510,16
7|Claudiano Martins Filho|Junho de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.649,53|22/06/2018|04206050008246|tim telecomunicações|580,83
1|Claudiano Martins Filho|Julho de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|06/07/2018|04938096000194|cooperativa metropolitana de taxistas - me|607,50
2|Claudiano Martins Filho|Julho de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|26/07/2018|07365343000107|Rw produções, serviços e eventos ltda - me|2.250,00
3|Claudiano Martins Filho|Julho de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.407,50|26/07/2018|07365343000107|rw produções, serviços e eventos ltda - me|2.550,00
4|Claudiano Martins Filho|Julho de 2018|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.319,00|30/07/2018|10516693000123|lopes e consultores associados ltda - me|5.319,00
5|Claudiano Martins Filho|Julho de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.639,07|17/07/2018|02558157000162|telefônica brasil s.a|529,18
6|Claudiano Martins Filho|Julho de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.639,07|24/07/2018|04206050008246|Tim telecomunicações|599,73
7|Claudiano Martins Filho|Julho de 2018|XII - Serviços de Telecomunicações em Geral - R$ 1.639,07|24/07/2018|40432544010290|claro telecomunicações|510,16
1|Claudiano Martins Filho|Agosto de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.347,82|08/08/2018|04938096000194|cooperativa metropolitana de taxistas - me|547,82
2|Claudiano Martins Filho|Agosto de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.347,82|24/08/2018|07365343000107|rw produções, serviços e eventos ltda - me|2.550,00
3|Claudiano Martins Filho|Agosto de 2018|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.347,82|24/08/2018|07365343000107|rw produções, serviços e eventos ltda - me|2.250,00
4|Claudiano Martins Filho|Agosto de 2018|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.319,00|31/08/2018|10516693000123|lopes & consultores associados ltda|5.319,00
5|Claudiano Martins Filho|Agosto de 2018|V - Material de Expediente - R$ 350,57|24/08/2018|33014556004183|lojas americanas s.a|279,90
6|Claudiano Martins Filho|Agosto de 2018|V - Material de Expediente - R$ 350,57|27/08/2018|20845172000173|extra fina ltda - me|53,27
7|Claudiano Martins Filho|Agosto de 2018|V - Material de Expediente - R$ 350,57|28/08/2018|0234604000197|mfs livraria papelaria ltda|17,40
8|Claudiano Martins Filho|Agosto de 2018|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 489,99|10/08/2018|02558157000162|telefônica brasil s.a|489,99
9|Claudiano Martins Filho|Agosto de 2018|XII - Serviços de Telecomunicações em Geral - R$ 57,84|10/08/2018|02558157000162|telefônica brasil s.a|57,84
1|Clodoaldo Magalhães|Janeiro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/01/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
2|Clodoaldo Magalhães|Janeiro de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 3.900,00|19/01/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|3.900,00
3|Clodoaldo Magalhães|Janeiro de 2015|V - Material de Expediente - R$ 2.600,00|09/03/2015|14.141.602/0001-73|OFFICE PAPER COMERCIO E SERVIÇOS LTDA|2.600,00
4|Clodoaldo Magalhães|Janeiro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 3.550,00|10/03/2015|17.024.760/0001-31|WR SERVIÇOS DE LOCAÇÃO E AUTOS LTDA|3.550,00
1|Clodoaldo Magalhães|Fevereiro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|27/02/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
2|Clodoaldo Magalhães|Fevereiro de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|25/02/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
3|Clodoaldo Magalhães|Fevereiro de 2015|I - Locação de Imóveis - R$ 4.650,00|27/02/2015|01.577.381/0001-39|RIOS E RIOS LTDA|2.450,00
4|Clodoaldo Magalhães|Fevereiro de 2015|I - Locação de Imóveis - R$ 4.650,00|31/03/2015|01.577.381/0001-39|RIOS E RIOS LTDA|2.200,00
1|Clodoaldo Magalhães|Março de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|24/03/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
2|Clodoaldo Magalhães|Março de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/03/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
3|Clodoaldo Magalhães|Março de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 4.650,00|26/11/2015|17.024.760/0001-31|WR SERVIÇOS DE LOCAÇÃO E AUTOS LTDA|4.650,00
1|Clodoaldo Magalhães|Abril de 2015|I - Locação de Imóveis - R$ 2.450,00|30/04/2015|01.577.381/0001-39|RIOS & RIOS IMÓVEIS LTDA|2.450,00
2|Clodoaldo Magalhães|Abril de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|30/04/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
3|Clodoaldo Magalhães|Abril de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|24/04/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
4|Clodoaldo Magalhães|Abril de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.200,00|30/11/2015|17.024.760/0001-31|WR SERVIÇOS DE LOCAÇÃO DE AUTOS LIMITADA|2.200,00
1|Clodoaldo Magalhães|Maio de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 0,00|31/05/2015|00.000.000/0000-00|(Nota cancelada)|0,00
2|Clodoaldo Magalhães|Maio de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|26/05/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
3|Clodoaldo Magalhães|Maio de 2015|X - Serviços Gráficos (Edição de Jornais, Revistas, etc.) - R$ 1.538,42|27/11/2015|10.469.871/0001-02|S E SILVA ENTREGAS RAPIDAS LTDA|1.538,42
4|Clodoaldo Magalhães|Maio de 2015|I - Locação de Imóveis - R$ 3.111,58|08/05/2015|15.260.287/0001-66|EDIFICIO WECON EMPRESARIAL CENTER VI|661,58
5|Clodoaldo Magalhães|Maio de 2015|I - Locação de Imóveis - R$ 3.111,58|31/05/2015|01.577.381/0001-39|RIOS & RIOS IMÓVEIS LTDA|2.450,00
6|Clodoaldo Magalhães|Maio de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/05/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
1|Clodoaldo Magalhães|Junho de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|25/06/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
2|Clodoaldo Magalhães|Junho de 2015|IX - Cópias Heliográficas e Encadernações em Geral - R$ 1.538,42|02/12/2015|10.469.871/0001-02|S E SILVA ENTREGAS RAPIDAS LTDA|1.538,42
3|Clodoaldo Magalhães|Junho de 2015|I - Locação de Imóveis - R$ 3.111,58|08/06/2015|15.260.287/0001-66|EDF. WECON EMPRESARIAL CENTER VI|661,58
4|Clodoaldo Magalhães|Junho de 2015|I - Locação de Imóveis - R$ 3.111,58|30/06/2015|01.577.381/0001-39|RIOS & RIOS IMOVEIS LTDA|2.450,00
5|Clodoaldo Magalhães|Junho de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|30/06/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
1|Clodoaldo Magalhães|Julho de 2015|I - Locação de Imóveis - R$ 2.450,00|31/07/2015|01.577.381/0001-39|RIOS & RIOS IMOVEIS LTDA|2.450,00
2|Clodoaldo Magalhães|Julho de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/07/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
3|Clodoaldo Magalhães|Julho de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|27/07/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
4|Clodoaldo Magalhães|Julho de 2015|V - Material de Expediente - R$ 2.200,00|03/12/2015|20.353.492/0001-06|SHIRLEIDY OSNY DANTAS PAPELARIA - ME|2.200,00
1|Clodoaldo Magalhães|Agosto de 2015|I - Locação de Imóveis - R$ 3.111,58|31/08/2015|01.577.381/0001-39|RIOS & RIOS LTDA|2.450,00
2|Clodoaldo Magalhães|Agosto de 2015|I - Locação de Imóveis - R$ 3.111,58|10/08/2015|15.260.287/0001-66|EDIFÍCIO WECON EMPRESARIAL CENTER VI|661,58
3|Clodoaldo Magalhães|Agosto de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/08/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
4|Clodoaldo Magalhães|Agosto de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|02/09/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
5|Clodoaldo Magalhães|Agosto de 2015|X - Serviços Gráficos (Edição de Jornais, Revistas, etc.) - R$ 1.534,50|03/12/2015|10.469.871/0001-02|S E SILVA ENTREGAS RAPIDAS LTDA|1.534,50
1|Clodoaldo Magalhães|Setembro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|30/09/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
2|Clodoaldo Magalhães|Setembro de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|25/09/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
3|Clodoaldo Magalhães|Setembro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 4.650,00|06/10/2015|17.024.760/0001-31|WR SERVIÇOS DE LOCAÇÃO DE AUTOS LIMITADA|4.650,00
1|Clodoaldo Magalhães|Outubro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/10/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
2|Clodoaldo Magalhães|Outubro de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|23/10/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
3|Clodoaldo Magalhães|Outubro de 2015|V - Material de Expediente - R$ 4.649,30|26/11/2015|20.353.492/0001-06|SHIRLEIDY OSNY DANTAS PAPELARIA - ME|4.649,30
1|Clodoaldo Magalhães|Novembro de 2015|I - Locação de Imóveis - R$ 2.300,00|30/11/2015|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
2|Clodoaldo Magalhães|Novembro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|30/11/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
3|Clodoaldo Magalhães|Novembro de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|26/11/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
4|Clodoaldo Magalhães|Novembro de 2015|X - Serviços Gráficos (Edição de Jornais, Revistas, etc.) - R$ 2.210,00|26/11/2015|10.469.871/0001-02|S E SILVA ENTREGAS RAPIDAS LTDA|2.210,00
1|Clodoaldo Magalhães|Dezembro de 2015|V - Material de Expediente - R$ 2.400,00|02/12/2015|20.353.492/0001-06|SHIRLEIDY OSNY DANTAS PAPELARIA - ME|2.400,00
2|Clodoaldo Magalhães|Dezembro de 2015|I - Locação de Imóveis - R$ 2.300,00|30/12/2015|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
3|Clodoaldo Magalhães|Dezembro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/12/2015|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
4|Clodoaldo Magalhães|Dezembro de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.350,00|23/12/2015|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.350,00
1|Clodoaldo Magalhães|Janeiro de 2016|I - Locação de Imóveis - R$ 2.300,00|30/01/2016|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
2|Clodoaldo Magalhães|Janeiro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/01/2016|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
3|Clodoaldo Magalhães|Janeiro de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|26/01/2016|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
4|Clodoaldo Magalhães|Janeiro de 2016|V - Material de Expediente - R$ 2.344,00|11/02/2016|14.141.602/0001-73|OFFICE PAPER COMERCIO E SERVIÇOS LTDA|2.344,00
1|Clodoaldo Magalhães|Fevereiro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|29/02/2016|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
2|Clodoaldo Magalhães|Fevereiro de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|29/02/2016|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
3|Clodoaldo Magalhães|Fevereiro de 2016|I - Locação de Imóveis - R$ 2.300,00|29/02/2016|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
4|Clodoaldo Magalhães|Fevereiro de 2016|X - Serviços Gráficos (Edição de Jornais, Revistas, etc.) - R$ 2.350,00|01/03/2016|10.469.871/0001-02|S E SILVA ENTREGAS RAPIDAS LTDA|2.350,00
1|Clodoaldo Magalhães|Março de 2016|I - Locação de Imóveis - R$ 2.300,00|30/03/2016|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
2|Clodoaldo Magalhães|Março de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/03/2016|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
3|Clodoaldo Magalhães|Março de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|28/03/2016|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
4|Clodoaldo Magalhães|Março de 2016|V - Material de Expediente - R$ 2.350,00|05/04/2016|14.141.602/0001-73|OFFICE PAPER COMERCIO E SERVIÇOS LTDA|2.350,00
1|Clodoaldo Magalhães|Abril de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|30/04/2016|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
2|Clodoaldo Magalhães|Abril de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|29/04/2016|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
3|Clodoaldo Magalhães|Abril de 2016|IX - Cópias Heliográficas e Encadernações em Geral - R$ 0,00|18/04/2016|00.000.000/0000-00|(Nota cancelada)|0,00
4|Clodoaldo Magalhães|Abril de 2016|I - Locação de Imóveis - R$ 2.300,00|29/04/2016|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
5|Clodoaldo Magalhães|Abril de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.852,00|26/05/2016|18.534.436/0001-26|ALBUQUERQUE SERVIÇOS AUTOMOTIVOS EIRELI|90,00
6|Clodoaldo Magalhães|Abril de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.852,00|02/06/2016|13.286.635/0001-49|FRANCELINO E NOGUEIRA LTDA|1.092,00
7|Clodoaldo Magalhães|Abril de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.852,00|02/06/2016|17.755.842/0001-56|FÁBIO HENRIQUE DE LIMA VEÍCULOS - ME|670,00
8|Clodoaldo Magalhães|Abril de 2016|V - Material de Expediente - R$ 498,00|30/11/2016|20.094.578/0001-61|CTC CARDOSO BARREIROS ME|498,00
1|Clodoaldo Magalhães|Maio de 2016|I - Locação de Imóveis - R$ 2.300,00|31/05/2016|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
2|Clodoaldo Magalhães|Maio de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/05/2016|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
3|Clodoaldo Magalhães|Maio de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|27/05/2016|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
4|Clodoaldo Magalhães|Maio de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.350,00|02/06/2016|17.755.842/0001-56|FABIO HENRIQUE DE LIMA VEÍCULOS ME|2.350,00
1|Clodoaldo Magalhães|Junho de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|30/06/2016|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
2|Clodoaldo Magalhães|Junho de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|28/06/2016|00.000.000/0000-00|(Nota cancelada)|0,00
3|Clodoaldo Magalhães|Junho de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|22/06/2016|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
4|Clodoaldo Magalhães|Junho de 2016|I - Locação de Imóveis - R$ 4.600,00|30/06/2016|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
5|Clodoaldo Magalhães|Junho de 2016|I - Locação de Imóveis - R$ 4.600,00|31/07/2016|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
1|Clodoaldo Magalhães|Julho de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/07/2016|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
2|Clodoaldo Magalhães|Julho de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.400,00|25/07/2016|05.753.746/0001-90|FAM GONDIM E SARUBBI ADVOGADOS|5.400,00
3|Clodoaldo Magalhães|Julho de 2016|V - Material de Expediente - R$ 4.600,00|09/08/2016|14.141.602/0001-73|OFFICE PAPER COMERCIO E SERVIÇOS LTDA|4.600,00
1|Clodoaldo Magalhães|Agosto de 2016|I - Locação de Imóveis - R$ 2.300,00|31/08/2016|073.910.314-88|ANGÉLICA EMILIANA DE BARROS AMORIM FÉLIX XAVIER|2.300,00
2|Clodoaldo Magalhães|Agosto de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|31/08/2016|04.949.680/0001-45|BARRETO SANTOS LTDA - EPP|5.400,00
3|Clodoaldo Magalhães|Agosto de 2016|V - Material de Expediente - R$ 3.850,00|14/09/2016|14.141.602/0001-73|OFFICE PAPER COMERCIO E SERVIÇOS LTDA|3.850,00
4|Clodoaldo Magalhães|Agosto de 2016|X - Serviços Gráficos (Edição de Jornais, Revistas, etc.) - R$ 3.900,00|15/09/2016|10.469.871/0001-02|S E SILVA ENTREGAS RÁPIDAS LTDA|3.900,00
1|Clodoaldo Magalhães|Setembro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.400,00|30/09/2016|04.949.680/0001-45|BARRETO SANTOS LTDA|5.400,00
2|Clodoaldo Magalhães|Setembro de 2016|V - Material de Expediente - R$ 0,00|13/10/2016|00.000.000/0000-00|(Nota cancelada)|0,00
